recording_name,study,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1803_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,250.00000000000003,NA,1083.3333333333337,350,1633.3333333333337,766.6666666666667,1016.6666666666669,1650.0000000000002,1450,1766.6666666666667,800,483.33333333333337,450.00000000000006,1200,950,466.6666666666667
1804_garrison_bergelson_2020_16,garrison_bergelson_2020,first_look_dur,583.3333333333334,1033.3333333333337,316.6666666666667,833.3333333333334,1216.6666666666667,1466.6666666666667,333.33333333333337,233.33333333333337,800,800,633.3333333333334,1600,1200,1333.3333333333337,1266.6666666666667,500.00000000000006
1805_garrison_bergelson_2020_15,garrison_bergelson_2020,first_look_dur,833.3333333333334,483.33333333333337,833.3333333333334,633.3333333333334,1100,383.33333333333337,300,1650.0000000000002,1566.6666666666667,250.00000000000003,1466.6666666666667,633.3333333333334,300,683.3333333333334,NA,NA
1806_garrison_bergelson_2020_15,garrison_bergelson_2020,first_look_dur,483.33333333333337,1533.3333333333337,1000,266.6666666666667,450.00000000000006,1366.6666666666667,266.6666666666667,933.3333333333334,1766.6666666666667,NA,1116.6666666666667,NA,800,NA,350,NA
1807_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,483.33333333333337,433.33333333333337,1350,1450,416.6666666666667,866.6666666666667,1700.0000000000002,633.3333333333334,1766.6666666666667,1000,466.6666666666667,1116.6666666666667,NA,1416.6666666666667,1716.6666666666667,1766.6666666666667
1808_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,550,NA,250.00000000000003,633.3333333333334,533.3333333333334,733.3333333333334,700,1616.6666666666667,1483.3333333333337,716.6666666666667,250.00000000000003,433.33333333333337,500.00000000000006,1550,700,NA
1811_garrison_bergelson_2020_14,garrison_bergelson_2020,first_look_dur,416.6666666666667,616.6666666666667,866.6666666666667,1183.3333333333337,600,416.6666666666667,650,750,NA,1133.3333333333337,1766.6666666666667,983.3333333333334,450.00000000000006,583.3333333333334,233.33333333333337,NA
1812_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,800,466.6666666666667,1033.3333333333337,1050,400,666.6666666666667,800,1350,1000,1616.6666666666667,450.00000000000006,1766.6666666666667,500.00000000000006,516.6666666666667,366.6666666666667,1766.6666666666667
1813_garrison_bergelson_2020_12,garrison_bergelson_2020,first_look_dur,700,550,433.33333333333337,950,533.3333333333334,566.6666666666667,700,933.3333333333334,NA,616.6666666666667,1766.6666666666667,1466.6666666666667,800,233.33333333333337,NA,NA
1814_garrison_bergelson_2020_12,garrison_bergelson_2020,first_look_dur,1550,366.6666666666667,1233.3333333333337,466.6666666666667,1250,NA,1766.6666666666667,816.6666666666667,666.6666666666667,633.3333333333334,233.33333333333337,NA,200,716.6666666666667,300,933.3333333333334
1815_garrison_bergelson_2020_14,garrison_bergelson_2020,first_look_dur,483.33333333333337,733.3333333333334,916.6666666666669,1766.6666666666667,666.6666666666667,683.3333333333334,1633.3333333333337,866.6666666666667,900.0000000000001,NA,1316.6666666666667,1633.3333333333337,1283.3333333333337,1050,NA,NA
1819_garrison_bergelson_2020_13,garrison_bergelson_2020,first_look_dur,NA,1216.6666666666667,1766.6666666666667,NA,NA,NA,916.6666666666669,1766.6666666666667,NA,383.33333333333337,NA,450.00000000000006,NA,NA,NA,NA
1820_garrison_bergelson_2020_15,garrison_bergelson_2020,first_look_dur,216.66666666666669,600,1300,933.3333333333334,733.3333333333334,400,850.0000000000001,1133.3333333333337,1750.0000000000002,1766.6666666666667,600,900.0000000000001,1000,750,250.00000000000003,1716.6666666666667
1821_garrison_bergelson_2020_12,garrison_bergelson_2020,first_look_dur,800,433.33333333333337,1050,NA,733.3333333333334,NA,1233.3333333333337,1566.6666666666667,500.00000000000006,NA,316.6666666666667,316.6666666666667,1616.6666666666667,1766.6666666666667,1400,NA
1822_garrison_bergelson_2020_13,garrison_bergelson_2020,first_look_dur,NA,733.3333333333334,1766.6666666666667,283.33333333333337,566.6666666666667,533.3333333333334,350,800,NA,NA,466.6666666666667,1050,733.3333333333334,1533.3333333333337,NA,NA
1823_garrison_bergelson_2020_14,garrison_bergelson_2020,first_look_dur,916.6666666666669,850.0000000000001,416.6666666666667,583.3333333333334,800,533.3333333333334,366.6666666666667,NA,1483.3333333333337,216.66666666666669,1383.3333333333337,NA,NA,NA,NA,NA
1824_garrison_bergelson_2020_15,garrison_bergelson_2020,first_look_dur,1733.3333333333337,1766.6666666666667,1633.3333333333337,1266.6666666666667,233.33333333333337,1766.6666666666667,350,1683.3333333333337,550,666.6666666666667,683.3333333333334,1600,216.66666666666669,1750.0000000000002,900.0000000000001,283.33333333333337
1825_garrison_bergelson_2020_12,garrison_bergelson_2020,first_look_dur,1766.6666666666667,NA,716.6666666666667,1766.6666666666667,1766.6666666666667,633.3333333333334,716.6666666666667,1350,1166.6666666666667,216.66666666666669,1116.6666666666667,350,NA,NA,NA,NA
1826_garrison_bergelson_2020_12,garrison_bergelson_2020,first_look_dur,1350,300,NA,1766.6666666666667,950,1183.3333333333337,833.3333333333334,416.6666666666667,1033.3333333333337,NA,1766.6666666666667,NA,1316.6666666666667,433.33333333333337,1766.6666666666667,866.6666666666667
1827_garrison_bergelson_2020_14,garrison_bergelson_2020,first_look_dur,1766.6666666666667,NA,1516.6666666666667,233.33333333333337,950,1766.6666666666667,266.6666666666667,1750.0000000000002,733.3333333333334,NA,NA,1266.6666666666667,266.6666666666667,1266.6666666666667,NA,NA
1828_garrison_bergelson_2020_16,garrison_bergelson_2020,first_look_dur,533.3333333333334,483.33333333333337,383.33333333333337,233.33333333333337,483.33333333333337,416.6666666666667,833.3333333333334,666.6666666666667,216.66666666666669,333.33333333333337,766.6666666666667,466.6666666666667,1316.6666666666667,1766.6666666666667,NA,NA
1829_garrison_bergelson_2020_15,garrison_bergelson_2020,first_look_dur,NA,1116.6666666666667,1566.6666666666667,NA,1766.6666666666667,1016.6666666666669,300,1766.6666666666667,816.6666666666667,1533.3333333333337,800,816.6666666666667,1650.0000000000002,633.3333333333334,NA,NA
1830_garrison_bergelson_2020_15,garrison_bergelson_2020,first_look_dur,1283.3333333333337,416.6666666666667,333.33333333333337,1100,766.6666666666667,783.3333333333334,816.6666666666667,1633.3333333333337,416.6666666666667,716.6666666666667,200,950,200,1766.6666666666667,733.3333333333334,516.6666666666667
1831_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,600,483.33333333333337,550,800,1633.3333333333337,250.00000000000003,900.0000000000001,1600,683.3333333333334,533.3333333333334,883.3333333333334,1466.6666666666667,1766.6666666666667,450.00000000000006,483.33333333333337,NA
1832_garrison_bergelson_2020_18,garrison_bergelson_2020,first_look_dur,1716.6666666666667,200,1566.6666666666667,500.00000000000006,366.6666666666667,450.00000000000006,1350,1766.6666666666667,1650.0000000000002,600,933.3333333333334,683.3333333333334,600,1766.6666666666667,1766.6666666666667,516.6666666666667
1833_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,233.33333333333337,533.3333333333334,433.33333333333337,750,1316.6666666666667,866.6666666666667,516.6666666666667,1500,800,1316.6666666666667,300,250.00000000000003,1583.3333333333337,350,NA,NA
1834_garrison_bergelson_2020_14,garrison_bergelson_2020,first_look_dur,450.00000000000006,533.3333333333334,383.33333333333337,633.3333333333334,683.3333333333334,1116.6666666666667,1766.6666666666667,433.33333333333337,316.6666666666667,733.3333333333334,1700.0000000000002,883.3333333333334,300,1066.6666666666667,483.33333333333337,566.6666666666667
1835_garrison_bergelson_2020_13,garrison_bergelson_2020,first_look_dur,583.3333333333334,533.3333333333334,333.33333333333337,683.3333333333334,866.6666666666667,233.33333333333337,1700.0000000000002,1316.6666666666667,266.6666666666667,NA,1383.3333333333337,266.6666666666667,NA,NA,NA,NA
1836_garrison_bergelson_2020_14,garrison_bergelson_2020,first_look_dur,1050,NA,NA,1516.6666666666667,1766.6666666666667,1766.6666666666667,NA,NA,1283.3333333333337,1766.6666666666667,1766.6666666666667,1766.6666666666667,800,NA,816.6666666666667,266.6666666666667
1837_garrison_bergelson_2020_17,garrison_bergelson_2020,first_look_dur,650,NA,1433.3333333333337,1583.3333333333337,1200,1183.3333333333337,916.6666666666669,1200,1666.6666666666667,1066.6666666666667,1516.6666666666667,1216.6666666666667,1766.6666666666667,1183.3333333333337,1600,1233.3333333333337
