dataset_name,yoked_pair,corrected_yoked_pair,fr_to_en1,fr_to_en2
CompMix-36,apple-toothbrush,apple-toothbrush,,
CompMix-36,bunny-dog,bunny-dog,,
CompMix-36,chien-lapin,bunny-dog,chien-dog,lapin-bunny
CompMix-36,cow-froggy,cow-froggy,,
CompMix-36,crayon-manteau,coat-pencil,crayon-pencil,manteau-coat
CompMix-36,dog-bunny,bunny-dog,,
CompMix-36,ear-spoon,ear-spoon,,
CompMix-36,fish-duck,duck-fish,,
CompMix-36,froggy-cow,cow-froggy,,
CompMix-36,grenouille-vache,cow-froggy,grenouille-froggy,vache-cow
CompMix-36,hand-door,door-hand,,
CompMix-36,main-porte,door-hand,main-hand,porte-door
CompMix-36,monkey-sheep,monkey-sheep,,
CompMix-36,mouton-singe,monkey-sheep,mouton-sheep,singe-monkey
CompMix-36,oreille-cuillere,ear-spoon,oreille-ear,cuillere-spoon
CompMix-36,pencil-coat,coat-pencil,,
CompMix-36,poisson-canard,duck-fish,poisson-fish,canard-duck
CompMix-36,pomme-brosse a dents,apple-toothbrush,pomme-apple,brosse a dents-toothbrush
CompMix-36,sheep-monkey,monkey-sheep,,
LearnMix-36,chien-lapin,bunny-dog,chien-dog,lapin-bunny
LearnMix-36,dog-bunny,bunny-dog,,
LearnMix-36,fish-bunny,bunny-fish,,
LearnMix-36,fish-dog,dog-fish,,
LearnMix-36,poisson-chien,dog-fish,poisson-fish,chien-dog
LearnMix-36,poisson-lapin,bunny-fish,poisson-fish,lapin-bunny
Mix-20,bird-hand,bird-hand,,
Mix-20,biscuit-pied,cookie-foot,biscuit-cookie,pied-foot
Mix-20,bouche-porte,door-mouth,bouche-mouth,porte-door
Mix-20,chien-livre,book-dog,chien-dog,livre-book
Mix-20,cookie-foot,cookie-foot,,
Mix-20,dog-book,book-dog,,
Mix-20,ear-spoon,ear-spoon,,
Mix-20,mouth-door,door-mouth,,
Mix-20,oisseau-main,bird-hand,oisseau-bird,main-hand
Mix-20,oreille-cuillere,ear-spoon,oreille-ear,cuillere-spoon
Mix-20,pomme-brosse a dents,apple-toothbrush,pomme-apple,brosse a dents-toothbrush
Mix-20,toothbrush-apple,apple-toothbrush,,
CogMisp-24,banana-giraffe,banana-giraffe,,
CogMisp-24,chocolate-bowl,bowl-chocolate,,
CogMisp-24,cookie-foot,cookie-foot,,
CogMisp-24,monkey-butterfly,butterfly-monkey,,
CogMisp-24,pizza-table,pizza-table,,
CogMisp-24,window-mouth,mouth-window,,
Mix-14,bird-hand,bird-hand,,
Mix-14,biscuit-pied,cookie-foot,biscuit-cookie,pied-foot
Mix-14,bouche-porte,door-mouth,bouche-mouth,porte-door
Mix-14,chien-livre,book-dog,chien-dog,livre-book
Mix-14,cookie-foot,cookie-foot,,
Mix-14,dog-book,book-dog,,
Mix-14,ear-spoon,ear-spoon,,
Mix-14,mouth-door,door-mouth,,
Mix-14,oisseau-main,bird-hand,oisseau-bird,main-hand
Mix-14,oreille-cuillere,ear-spoon,oreille-ear,cuillere-spoon
Mix-14,pomme-brosse a dents,apple-toothbrush,pomme-apple,brosse a dents-toothbrush
Mix-14,toothbrush-apple,apple-toothbrush,,
