data_split,variable,type,ICC,F,df1,df2,p,lower.bound,upper.bound,rater_type
all_initial_looks,correct_shift,ICC3k,0.9285663963048195,13.999013745227977,850,33150,0,0.921517692268841,0.9352718004323249,Average_fixed_raters
all_initial_looks,duration_of_look,ICC3k,0.9692363387728513,32.50588389386842,855,33345,0,0.9662098402124627,0.9721158559740515,Average_fixed_raters
all_initial_looks,first_look_dur,ICC3k,0.9558024114342661,22.62566878536203,855,33345,0,0.9514542963910282,0.9599393610511175,Average_fixed_raters
all_initial_looks,latency_to_switch,ICC3k,0.9317559391901865,14.653289797435395,840,32760,0,0.924981028946815,0.9381989740677652,Average_fixed_raters
all_initial_looks,mean_pupil_size_difference,ICC3k,0.9374857858669651,15.996362009317183,169,6591,0,0.9232398047788768,0.9502214289246521,Average_fixed_raters
all_initial_looks,number_fixations,ICC3k,0.9100462925440838,11.116829181166,855,33345,0,0.9011967357859729,0.918466072167143,Average_fixed_raters
all_initial_looks,peak_pupil_latency,ICC3k,0.6368569280714766,2.753735586058015,169,6591,3.9678839608040397e-28,0.5541024792359724,0.7108378715591709,Average_fixed_raters
all_initial_looks,peak_pupil_size_difference,ICC3k,0.9315649991464885,14.612405750392984,169,6591,0,0.9159697662631684,0.9455068483020754,Average_fixed_raters
all_initial_looks,prop_looking,ICC3k,0.79298008677063625,4.830453188781261,855,33345,0,0.7726136724893767,0.8123574097990431,Average_fixed_raters
all_initial_looks,prop_looking_diff,ICC3k,0.9715144884606207,35.10556581080053,614,23946,0,0.9681932514874627,0.974646218128911,Average_fixed_raters
all_initial_looks,remain_on_target,ICC3k,0.8373574188803636,6.1484513656631,851,33189,0,0.8213183371296677,0.8526157815182592,Average_fixed_raters
all_initial_looks,total_aoi_switches,ICC3k,0.8676570923973054,7.556128379785113,855,33345,0,0.8546373280597719,0.8800445542174385,Average_fixed_raters
distractor,correct_shift,ICC3k,0.9285663925005647,13.999012999699143,850,33150,0,0.9215176880892018,0.9352717969851719,Average_fixed_raters
distractor,duration_of_look,ICC3k,0.9747512426709212,39.6059095886002,845,32955,0,0.9722522857440937,0.9771281396868152,Average_fixed_raters
distractor,first_look_dur,ICC3k,0.9604654403429047,25.294324982332963,823,32097,0,0.9564993415547163,0.9642353091152054,Average_fixed_raters
distractor,latency_to_switch,ICC3k,0.9318649942323731,14.676743455639839,840,32760,0,0.9251009103981225,0.9382977330426889,Average_fixed_raters
distractor,mean_pupil_size_difference,ICC3k,0.9471475904043749,18.920613225603542,165,6435,0,0.9349506526593624,0.9580366821442097,Average_fixed_raters
distractor,number_fixations,ICC3k,0.9321396971819924,14.736155874250509,845,32955,0,0.9254233280722792,0.9385280096507418,Average_fixed_raters
distractor,peak_pupil_latency,ICC3k,0.7522217801280149,4.035867238519395,165,6435,2.1968828251191046e-57,0.6950411227942992,0.8032711038572843,Average_fixed_raters
distractor,peak_pupil_size_difference,ICC3k,0.9393915672567935,16.499354210938392,165,6435,0,0.9254047445812034,0.9518786192076475,Average_fixed_raters
distractor,prop_looking,ICC3k,0.9356308215757105,15.535385482295577,850,33150,0,0.9292791990299966,0.9416730948527549,Average_fixed_raters
distractor,prop_looking_diff,ICC3k,0.9857598089498186,70.22377694766008,481,18759,0,0.9838770737296945,0.9875216177053396,Average_fixed_raters
distractor,total_aoi_switches,ICC3k,0.8693847118517809,7.6560716144133485,850,33150,0,0.8564962607432594,0.8816454441536495,Average_fixed_raters
target,duration_of_look,ICC3k,0.9686932079497619,31.941950436675093,851,33189,0,0.9656058725570922,0.9716302640567376,Average_fixed_raters
target,first_look_dur,ICC3k,0.9538967291069657,21.69043498714293,851,33189,0,0.9493502313464319,0.9582219213243814,Average_fixed_raters
target,mean_pupil_size_difference,ICC3k,0.9364037069982009,15.724186942338154,165,6435,0,0.9217273652288992,0.9495063426984156,Average_fixed_raters
target,number_fixations,ICC3k,0.918812966032824,12.317237755037363,851,33189,0,0.9108066649403801,0.9264295520291759,Average_fixed_raters
target,peak_pupil_latency,ICC3k,0.6277132840978757,2.6861017524538915,165,6435,4.603996719629148e-26,0.5417993601747318,0.704414880751581,Average_fixed_raters
target,peak_pupil_size_difference,ICC3k,0.933607413254741,15.061922558265238,165,6435,0,0.9182857608748785,0.9472861645821716,Average_fixed_raters
target,prop_looking,ICC3k,0.8029541212885006,5.074960240422637,851,33189,0,0.7835223406592527,0.8214400396315654,Average_fixed_raters
target,prop_looking_diff,ICC3k,0.976137338322853,41.906473532987754,470,18330,0,0.9729445065458091,0.9791227888373116,Average_fixed_raters
target,remain_on_target,ICC3k,0.8373056651263695,6.146495517356089,851,33189,0,0.8212614796526172,0.8525688830582533,Average_fixed_raters
target,total_aoi_switches,ICC3k,0.8908593520475785,9.162489125370945,851,33189,0,0.880096390941193,0.9010984147427776,Average_fixed_raters
